"","area","location","timepoint","date","measurer","waves","sun","rain","temp","st.catch","end.catch","visibility","ID","zone","sex","sex.method","roundness","length","weight","comment","roundness2","date2","meanmaxtempdate","datetomeanmax"
"26","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",19,"3","m","af","m",41.5,56,"","m",2024-05-08,2022-11-24,530.400000000003
"27","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",35,"2","f","r","1",42,56,"","1",2024-05-08,2022-11-24,530.400000000003
"28","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",51,"1","f","r","1",38,58,"","1",2024-05-08,2022-11-24,530.400000000003
"29","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",9,"3","f","r","2",40,58,"","2",2024-05-08,2022-11-24,530.400000000003
"30","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",16,"3","m","af","m",42.5,59,"","m",2024-05-08,2022-11-24,530.400000000003
"31","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",55,"1","f","r","1",39.5,60,"","1",2024-05-08,2022-11-24,530.400000000003
"32","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",61,"1","f","r","3",40.5,60,"","3",2024-05-08,2022-11-24,530.400000000003
"33","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",65,"1","f","r","1",41.5,60,"","1",2024-05-08,2022-11-24,530.400000000003
"34","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",3,"3","f","r","1",42.5,61,"","1",2024-05-08,2022-11-24,530.400000000003
"35","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",46,"1","m","af","m",42,62,"","m",2024-05-08,2022-11-24,530.400000000003
"36","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",60,"1","f","r","1",41,63,"","1",2024-05-08,2022-11-24,530.400000000003
"37","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",39,"1","m","af","m",42.5,63,"","m",2024-05-08,2022-11-24,530.400000000003
"38","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",68,"1","f","r","1",43,63,"","1",2024-05-08,2022-11-24,530.400000000003
"39","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",58,"1","f","r","1",41,64,"","1",2024-05-08,2022-11-24,530.400000000003
"40","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",42,"1","m","af","m",42,64,"","m",2024-05-08,2022-11-24,530.400000000003
"41","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",31,"2","m","af","m",42.5,64,"","m",2024-05-08,2022-11-24,530.400000000003
"42","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",63,"1","f","r","2",42.5,66,"","2",2024-05-08,2022-11-24,530.400000000003
"43","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",10,"3","f","r","2",43,66,"","2",2024-05-08,2022-11-24,530.400000000003
"44","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",24,"2","m","af","m",43,66,"","m",2024-05-08,2022-11-24,530.400000000003
"45","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",1,"3","f","r","1",43.5,67,"","1",2024-05-08,2022-11-24,530.400000000003
"46","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",6,"3","f","r","2",41,68,"","2",2024-05-08,2022-11-24,530.400000000003
"47","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",11,"3","f","r","2",42.5,68,"","2",2024-05-08,2022-11-24,530.400000000003
"48","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",4,"3","f","r","1",43.5,69,"wound on the back","1",2024-05-08,2022-11-24,530.400000000003
"49","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",2,"3","f","r","1",44,69,"","1",2024-05-08,2022-11-24,530.400000000003
"50","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",36,"2","f","r","3",43.5,70,"","3",2024-05-08,2022-11-24,530.400000000003
"51","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",34,"2","f","r","2",43,71,"","2",2024-05-08,2022-11-24,530.400000000003
"52","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",54,"1","f","r","2",43,71,"","2",2024-05-08,2022-11-24,530.400000000003
"53","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",62,"1","f","r","2",43.5,71,"","2",2024-05-08,2022-11-24,530.400000000003
"54","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",33,"2","f","r","1",49.5,71,"","1",2024-05-08,2022-11-24,530.400000000003
"55","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",52,"1","f","r","3",41.5,72,"","3",2024-05-08,2022-11-24,530.400000000003
"56","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",48,"1","f","r","3",43,72,"","3",2024-05-08,2022-11-24,530.400000000003
"57","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",43,"1","m","af","m",44,72,"","m",2024-05-08,2022-11-24,530.400000000003
"58","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",28,"2","m","af","m",45,73,"","m",2024-05-08,2022-11-24,530.400000000003
"59","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",5,"3","f","r","3",41,75,"","3",2024-05-08,2022-11-24,530.400000000003
"60","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",50,"1","f","r","2",43.5,75,"","2",2024-05-08,2022-11-24,530.400000000003
"61","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",22,"2","m","af","m",44.5,75,"","m",2024-05-08,2022-11-24,530.400000000003
"62","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",29,"2","m","af","m",45,79,"","m",2024-05-08,2022-11-24,530.400000000003
"63","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",27,"2","m","af","m",46,80,"","m",2024-05-08,2022-11-24,530.400000000003
"64","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",20,"2","m","af","m",46,88,"","m",2024-05-08,2022-11-24,530.400000000003
"65","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",53,"1","f","r","1",46,88,"","1",2024-05-08,2022-11-24,530.400000000003
"66","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",38,"1","m","af","m",48.5,89,"","m",2024-05-08,2022-11-24,530.400000000003
"67","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",30,"2","m","af","m",48,90,"","m",2024-05-08,2022-11-24,530.400000000003
"68","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",8,"3","f","r","2",46.5,91,"","2",2024-05-08,2022-11-24,530.400000000003
"69","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",73,"1","m","af","m",34.5,30,"","m",2024-06-23,2022-11-24,576.400000000003
"70","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",1,"","m","af","m",36.5,36,"not for sex ratio","m",2024-06-23,2022-11-24,576.400000000003
"71","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",90,"1","f","f","1",38,41,"","1",2024-06-23,2022-11-24,576.400000000003
"72","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",10,"3","m","af","m",39,42,"","m",2024-06-23,2022-11-24,576.400000000003
"73","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",72,"1","m","af","m",37,43,"","m",2024-06-23,2022-11-24,576.400000000003
"74","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",49,"2","f","r","1",38,43,"","1",2024-06-23,2022-11-24,576.400000000003
"75","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",5,"3","m","af","m",40,50,"","m",2024-06-23,2022-11-24,576.400000000003
"76","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",55,"2","f","r","1",41.5,51,"","1",2024-06-23,2022-11-24,576.400000000003
"77","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",75,"1","f","r","1",39.5,52,"","1",2024-06-23,2022-11-24,576.400000000003
"78","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",58,"2","f","r","3",40,52,"","3",2024-06-23,2022-11-24,576.400000000003
"79","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",2,"3","m","af","m",40,53,"","m",2024-06-23,2022-11-24,576.400000000003
"80","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",5,"","m","af","m",39,54,"not for sex ratio","m",2024-06-23,2022-11-24,576.400000000003
"81","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",4,"","m","af","m",41,54,"not for sex ratio","m",2024-06-23,2022-11-24,576.400000000003
"82","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",7,"3","m","af","m",40.5,55,"","m",2024-06-23,2022-11-24,576.400000000003
"83","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",30,"3","f","r","2",39.5,56,"","2",2024-06-23,2022-11-24,576.400000000003
"84","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",2,"","m","af","m",40,58,"not for sex ratio","m",2024-06-23,2022-11-24,576.400000000003
"85","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",86,"1","f","r","1",39,59,"","1",2024-06-23,2022-11-24,576.400000000003
"86","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",3,"3","m","af","m",42,59,"","m",2024-06-23,2022-11-24,576.400000000003
"87","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",28,"3","f","r","2",38.5,60,"","2",2024-06-23,2022-11-24,576.400000000003
"88","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",60,"2","f","r","1",41,60,"","1",2024-06-23,2022-11-24,576.400000000003
"89","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",83,"1","f","r","1",41,60,"","1",2024-06-23,2022-11-24,576.400000000003
"90","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",88,"1","f","r","1",42,61,"","1",2024-06-23,2022-11-24,576.400000000003
"91","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",25,"3","f","r","1",43,61,"","1",2024-06-23,2022-11-24,576.400000000003
"92","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",93,"1","f","r","2",41,62,"","2",2024-06-23,2022-11-24,576.400000000003
"93","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",6,"3","m","af","m",42,62,"","m",2024-06-23,2022-11-24,576.400000000003
"94","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",9,"3","m","af","m",42,62,"","m",2024-06-23,2022-11-24,576.400000000003
"95","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",15,"3","f","r","1",44.5,62,"","1",2024-06-23,2022-11-24,576.400000000003
"96","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",8,"3","m","af","m",42,63,"","m",2024-06-23,2022-11-24,576.400000000003
"97","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",16,"3","f","r","2",42.5,64,"","2",2024-06-23,2022-11-24,576.400000000003
"98","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",27,"3","f","r","1",42.5,64,"","1",2024-06-23,2022-11-24,576.400000000003
"99","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",61,"2","f","r","2",42,65,"","2",2024-06-23,2022-11-24,576.400000000003
"100","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",1,"3","m","af","m",43,65,"","m",2024-06-23,2022-11-24,576.400000000003
"101","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",3,"","m","af","m",43,65,"not for sex ratio","m",2024-06-23,2022-11-24,576.400000000003
"102","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",65,"2","f","r","1",43,65,"","1",2024-06-23,2022-11-24,576.400000000003
"103","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",87,"1","f","r","3",40.5,67,"","3",2024-06-23,2022-11-24,576.400000000003
"104","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",82,"1","f","r","1",42.5,67,"","1",2024-06-23,2022-11-24,576.400000000003
"105","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",78,"1","f","r","2",41,68,"","2",2024-06-23,2022-11-24,576.400000000003
"106","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",48,"2","f","r","3",42,68,"","3",2024-06-23,2022-11-24,576.400000000003
"107","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",21,"3","f","r","1",43,69,"","1",2024-06-23,2022-11-24,576.400000000003
"108","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",54,"2","f","r","1",44,70,"","1",2024-06-23,2022-11-24,576.400000000003
"109","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",76,"1","f","r","1",44.5,70,"","1",2024-06-23,2022-11-24,576.400000000003
"110","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",63,"2","f","r","1",43,71,"","1",2024-06-23,2022-11-24,576.400000000003
"111","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",64,"2","f","r","2",43,71,"","2",2024-06-23,2022-11-24,576.400000000003
"112","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",56,"2","f","r","3",43,73,"","3",2024-06-23,2022-11-24,576.400000000003
"113","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",67,"2","f","r","2",42.5,74,"","2",2024-06-23,2022-11-24,576.400000000003
"114","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",18,"3","f","r","3",43.5,74,"","3",2024-06-23,2022-11-24,576.400000000003
"115","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",57,"2","f","r","1",43,75,"","1",2024-06-23,2022-11-24,576.400000000003
"116","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",79,"1","f","r","1",44.5,75,"","1",2024-06-23,2022-11-24,576.400000000003
"117","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",53,"2","f","r","3",43.5,76,"","3",2024-06-23,2022-11-24,576.400000000003
"118","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",19,"3","f","r","1",44,76,"","1",2024-06-23,2022-11-24,576.400000000003
"119","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",80,"1","f","r","2",44,76,"","2",2024-06-23,2022-11-24,576.400000000003
"120","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",13,"3","f","r","1",46,76,"","1",2024-06-23,2022-11-24,576.400000000003
"121","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",12,"3","f","r","2",44.5,77,"","2",2024-06-23,2022-11-24,576.400000000003
"122","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",89,"1","f","r","1",45,77,"","1",2024-06-23,2022-11-24,576.400000000003
"123","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",81,"1","f","r","1",45,79,"","1",2024-06-23,2022-11-24,576.400000000003
"124","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",52,"2","f","r","2",43.5,80,"","2",2024-06-23,2022-11-24,576.400000000003
"125","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",20,"3","f","r","3",42.5,81,"","3",2024-06-23,2022-11-24,576.400000000003
"126","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",23,"3","f","r","3",43,81,"","3",2024-06-23,2022-11-24,576.400000000003
"127","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",91,"1","f","r","1",43.5,81,"","1",2024-06-23,2022-11-24,576.400000000003
"128","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",74,"1","f","r","2",44,82,"","2",2024-06-23,2022-11-24,576.400000000003
"129","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",29,"3","f","r","2",45,82,"","2",2024-06-23,2022-11-24,576.400000000003
"130","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",24,"3","f","r","2",43,83,"","2",2024-06-23,2022-11-24,576.400000000003
"131","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",11,"3","f","r","3",44.5,83,"","3",2024-06-23,2022-11-24,576.400000000003
"132","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",26,"3","f","r","3",45,83,"","3",2024-06-23,2022-11-24,576.400000000003
"133","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",66,"2","f","r","3",43.5,84,"","3",2024-06-23,2022-11-24,576.400000000003
"134","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",14,"3","f","r","3",43,86,"white scale desease","3",2024-06-23,2022-11-24,576.400000000003
"135","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",47,"2","m","af","m",46.5,86,"","m",2024-06-23,2022-11-24,576.400000000003
"136","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",46,"2","m","af","m",45.5,87,"","m",2024-06-23,2022-11-24,576.400000000003
"137","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",92,"1","f","r","2",46,87,"","2",2024-06-23,2022-11-24,576.400000000003
"138","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",50,"2","f","r","2",45,88,"","2",2024-06-23,2022-11-24,576.400000000003
"139","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",4,"3","m","af","m",47,89,"","m",2024-06-23,2022-11-24,576.400000000003
"140","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",22,"3","f","r","1",46.5,90,"","1",2024-06-23,2022-11-24,576.400000000003
"141","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",51,"2","f","r","1",48,94,"","1",2024-06-23,2022-11-24,576.400000000003
"142","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",77,"1","f","r","3",45,95,"","3",2024-06-23,2022-11-24,576.400000000003
"143","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",85,"1","f","r","3",45.5,96,"","3",2024-06-23,2022-11-24,576.400000000003
"144","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",17,"3","f","r","2",47,98,"","2",2024-06-23,2022-11-24,576.400000000003
"145","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",84,"1","f","r","2",46,100,"","2",2024-06-23,2022-11-24,576.400000000003
"146","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",62,"2","f","r","3",46,104,"","3",2024-06-23,2022-11-24,576.400000000003
"147","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",59,"2","f","r","1",49,105,"","1",2024-06-23,2022-11-24,576.400000000003
"148","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",31,"3","f","r","1",NA,NA,"nopheno","1",2024-06-23,2022-11-24,576.400000000003
"149","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",32,"3","f","r","1",NA,NA,"nopheno","1",2024-06-23,2022-11-24,576.400000000003
"150","Arendal","Badstuholmen","2","23.06.2022","IM",0,"Y","N",14.6,"11:10","12:10","good",33,"3","f","r","2",NA,NA,"nopheno","2",2024-06-23,2022-11-24,576.400000000003
