"","location","timepoint","f1","f2","f3","m","u","area","meanmaxtempdate","date","datetomeanmax","Area","temp2022","temp","maxtemp","temp2002","Catch","Population","daynr","endnr","broodsleft","broodsleftF","DDleft","DDleftF"
"512","Krabbavika","Timepoint 3",93,7,2,7,0,"Austevoll",2022-07-02,2022-07-21,750,"Austevoll",15.84,15.7617902804437,16.133584947594,15.84,102,"Austevoll",201,274,5.82156345128524,3.53896565061132,1120.87980230244,670.206002193423
"522","Lamoya","Timepoint 3",26,5,1,4,0,"Austevoll",2022-07-02,2022-07-25,754,"Austevoll",14.47,15.9117871196243,16.133584947594,14.47,32,"Austevoll",205,274,5.48957644172628,3.20697864105237,1057.67471786141,607.000917752397
"532","Saltkjaerholmane","Timepoint 3",19,2,1,1,0,"Austevoll",2022-07-02,2022-07-25,754,"Austevoll",14.47,15.9117871196243,16.133584947594,14.47,22,"Austevoll",205,274,5.48957644172628,3.20697864105237,1057.67471786141,607.000917752397
"542","Ternholmen","Timepoint 3",84,6,3,17,0,"Austevoll",2022-07-02,2022-07-19,748,"Austevoll",15.2,15.672650425126,16.133584947594,15.2,93,"Austevoll",199,274,5.98550884991113,3.70291104923722,1152.22433172272,701.550531613708
"552","Tipatiskaeret","Timepoint 3",81,10,2,10,0,"Austevoll",2022-07-02,2022-07-23,752,"Austevoll",16.39,15.8415392561553,16.133584947594,16.39,93,"Austevoll",203,274,5.65620651439167,3.37360871371776,1089.35700446401,638.683204354989
"13","Feoya f4-5","Timepoint 1",14,17,23,45,0,"Hitra",2022-07-02,2022-05-16,683.333333333333,"Hitra",7.59,8.30071587242436,14.0395655855628,7.59,54,"Hitra",135,248,6.73093659185933,6.39212144711139,1378.18749299538,1309.72237151305
"23","Steinrenningen s-8","Timepoint 1",12,15,11,47,0,"Hitra",2022-07-02,2022-05-17,684.333333333333,"Hitra",7.46,8.38431434298408,14.0395655855628,7.46,38,"Hitra",136,248,6.69075778436144,6.35194263961349,1369.92831191778,1301.46319043544
"33","Teistholmen 10","Timepoint 1",3,6,7,43,0,"Hitra",2022-07-02,2022-05-18,685.333333333333,"Hitra",7.73,8.46852135439945,14.0395655855628,7.73,16,"Hitra",137,248,6.65025582240446,6.31144067765652,1361.58584873961,1293.12072725727
"43","Teistholmen 13","Timepoint 1",25,20,16,23,0,"Hitra",2022-07-02,2022-05-20,687.333333333333,"Hitra",8.72,8.63864164640651,14.0395655855628,8.72,61,"Hitra",139,248,6.56826228668237,6.22944714193443,1344.64861306531,1276.18349158297
"58","Vegshiftholmane 6","Timepoint 1",8,5,9,21,0,"Hitra",2022-07-02,2022-05-19,686.333333333333,"Hitra",8.23,8.55330723948342,14.0395655855628,8.23,22,"Hitra",138,248,6.60942565995578,6.27061051520783,1353.1594803771,1284.69435889476
"263","Feoya f4-5","Timepoint 2",26,27,12,12,0,"Hitra",2022-07-02,2022-06-11,709.333333333333,"Hitra",10.53,10.5858551618125,14.0395655855628,10.53,65,"Hitra",161,248,5.56904214661141,5.23022700186346,1135.24200274803,1066.77688126569
"273","Steinrenningen s-8","Timepoint 2",24,21,10,33,0,"Hitra",2022-07-02,2022-06-09,707.333333333333,"Hitra",9.06,10.4084631526331,14.0395655855628,9.06,55,"Hitra",159,248,5.66785493241276,5.32903978766482,1156.05885786821,1087.59373638587
"283","Teistholmen 10","Timepoint 2",34,24,15,27,1,"Hitra",2022-07-02,2022-06-12,710.333333333333,"Hitra",10.55,10.6741299139764,14.0395655855628,10.55,73,"Hitra",162,248,5.51899930113681,5.18018415638887,1124.70040928478,1056.23528780244
"293","Teistholmen 13","Timepoint 2",34,18,18,35,0,"Hitra",2022-07-02,2022-06-11,709.333333333333,"Hitra",10.53,10.5858551618125,14.0395655855628,10.53,70,"Hitra",161,248,5.56904214661141,5.23022700186346,1135.24200274803,1066.77688126569
"303","Vegshiftholmane 6","Timepoint 2",29,29,16,32,0,"Hitra",2022-07-02,2022-06-07,705.333333333333,"Hitra",10.12,10.2302167049107,14.0395655855628,10.12,74,"Hitra",157,248,5.76498813979098,5.42617299504304,1176.51924675798,1108.05412527564
"513","Feoya f4-5","Timepoint 3",76,5,3,20,0,"Hitra",2022-07-02,2022-07-10,738.333333333333,"Hitra",13.59,12.8628916051131,14.0395655855628,13.59,84,"Hitra",190,248,3.94233574867178,3.60352060392384,795.746749320837,727.281627838497
"523","Steinrenningen s-8","Timepoint 3",63,2,0,22,0,"Hitra",2022-07-02,2022-07-11,739.333333333333,"Hitra",13.41,12.9253663577778,14.0395655855628,13.41,65,"Hitra",191,248,3.87996497190243,3.54114982715449,782.91568173698,714.450560254641
"533","Teistholmen 10","Timepoint 3",81,7,1,27,0,"Hitra",2022-07-02,2022-07-06,734.333333333333,"Hitra",14.05,12.5992710315449,14.0395655855628,14.05,89,"Hitra",186,248,4.18790248346444,3.8490873387165,846.41194115312,777.94681967078
"543","Teistholmen 13","Timepoint 3",53,3,4,29,0,"Hitra",2022-07-02,2022-07-05,733.333333333333,"Hitra",14.21,12.5301017805712,14.0395655855628,14.21,60,"Hitra",185,248,4.24828935475697,3.90947421000902,858.906941467974,790.441819985634
"553","Vegshiftholmane 6","Timepoint 3",70,6,1,18,0,"Hitra",2022-07-02,2022-07-12,740.333333333333,"Hitra",13.5,12.9864048212336,14.0395655855628,13.5,77,"Hitra",192,248,3.81721401165665,3.47839886690871,770.021434367923,701.556312885584
"14","Gudmunholmen","Timepoint 1",9,12,13,44,0,"Helligvaer",2022-07-03,2022-05-23,689.25,"Helligvaer",7.4,7.70313650211884,12.9026412636311,7.4,34,"Helligvaer",142,227,4.48211487013685,5.47747534094183,931.284017385258,1136.1473596965
"24","Kloverholmen","Timepoint 1",20,24,16,36,0,"Helligvaer",2022-07-03,2022-05-24,690.25,"Helligvaer",7.63,7.79102758905594,12.9026412636311,7.63,60,"Helligvaer",143,227,4.44418817172323,5.43954864252821,923.624546903942,1128.48788921518
"34","Litj-sorroy","Timepoint 1",13,23,19,40,1,"Helligvaer",2022-07-03,2022-05-22,688.25,"Helligvaer",7.22,7.61592082560972,12.9026412636311,7.22,55,"Helligvaer",141,227,4.51972601846694,5.51508648927192,938.856628799205,1143.71997111044
"44","Store-kvannoya","Timepoint 1",7,2,5,53,2,"Helligvaer",2022-07-03,2022-05-21,687.25,"Helligvaer",7,7.52942585670585,12.9026412636311,7,14,"Helligvaer",140,227,4.55702690787699,5.55238737868197,946.343124196953,1151.20646650819
"59","Tjonnoyskaeret","Timepoint 1",8,19,13,46,1,"Helligvaer",2022-07-03,2022-05-25,691.25,"Helligvaer",7.68,7.87954809007495,12.9026412636311,7.68,40,"Helligvaer",144,227,4.40594070768346,5.40130117848844,915.877519236442,1120.74086154768
"264","Gudmunholmen","Timepoint 2",26,32,18,35,8,"Helligvaer",2022-07-03,2022-06-09,706.25,"Helligvaer",8.83,9.24992031712563,12.9026412636311,8.83,76,"Helligvaer",159,227,3.79050003695156,4.78586050775654,788.835320066928,993.698662378165
"274","Kloverholmen","Timepoint 2",15,21,16,20,4,"Helligvaer",2022-07-03,2022-06-16,713.25,"Helligvaer",10.11,9.88689928843022,12.9026412636311,10.11,52,"Helligvaer",166,227,3.47419570895836,4.46955617976334,722.484600443911,927.347942755148
"284","Litj-sorroy","Timepoint 2",33,28,21,26,1,"Helligvaer",2022-07-03,2022-06-13,710.25,"Helligvaer",9.92,9.61605756541417,12.9026412636311,9.92,82,"Helligvaer",163,227,3.61213946276471,4.60749993356969,751.468558705801,956.331901017039
"294","Store-kvannoya","Timepoint 2",22,17,11,19,2,"Helligvaer",2022-07-03,2022-06-08,705.25,"Helligvaer",8.53,9.15783379196374,12.9026412636311,8.53,50,"Helligvaer",158,227,3.83411262134903,4.82947309215401,797.94705947121,1002.81040178245
"304","Tjonnoyskaeret","Timepoint 2",15,21,10,21,8,"Helligvaer",2022-07-03,2022-06-15,712.25,"Helligvaer",10.04,9.79707939209434,12.9026412636311,10.04,46,"Helligvaer",165,227,3.52057845843063,4.51593892923561,732.236568737935,937.099911049172
"514","Gudmunholmen","Timepoint 3",65,7,0,29,0,"Helligvaer",2022-07-03,2022-07-10,737.25,"Helligvaer",12.76,11.7749273402064,12.9026412636311,12.76,72,"Helligvaer",190,227,2.24071832106601,3.236078791871,463.189514246277,668.052856557515
"524","Kloverholmen","Timepoint 3",68,6,3,19,0,"Helligvaer",2022-07-03,2022-07-08,735.25,"Helligvaer",12.07,11.6446102303862,12.9026412636311,12.07,77,"Helligvaer",188,227,2.35200427532467,3.34736474612965,486.478237571269,691.341579882506
"534","Litj-sorroy","Timepoint 3",5,0,1,0,0,"Helligvaer",2022-07-03,2022-07-13,740.25,"Helligvaer",12.97,11.9586501683973,12.9026412636311,12.97,6,"Helligvaer",193,227,2.07117336186538,3.06653383267036,427.771653117339,632.634995428576
"544","Store-kvannoya","Timepoint 3",59,2,1,14,0,"Helligvaer",2022-07-03,2022-07-11,738.25,"Helligvaer",12.96,11.8377664207441,12.9026412636311,12.96,62,"Helligvaer",191,227,2.18454596773354,3.17990643853852,451.44665655458,656.309998865817
"554","Tjonnoyskaeret","Timepoint 3",78,8,0,8,0,"Helligvaer",2022-07-03,2022-07-12,739.25,"Helligvaer",13.19,11.8990173286219,12.9026412636311,13.19,86,"Helligvaer",192,227,2.12802881963189,3.12338929043687,439.640178603933,644.50352091517
"15","Dragan Hammaran","Timepoint 1",19,18,13,46,5,"Ringstad",2022-07-03,2022-06-03,701,"Ringstad",11.33,8.18879384189129,12.2891771855979,11.33,50,"Ringstad",153,274,6.42185349290391,4.81432757137537,1342.61874662541,1004.74385715983
"25","Finnoya","Timepoint 1",12,18,12,35,23,"Ringstad",2022-07-03,2022-06-02,700,"Ringstad",10.89,8.08002832123535,12.2891771855979,10.89,42,"Ringstad",152,274,6.46113938399237,4.85361346246382,1350.64425732605,1012.76936786047
"35","Hongvaeret","Timepoint 1",14,11,13,35,10,"Ringstad",2022-07-03,2022-05-30,697,"Ringstad",9.55,7.75206830348293,12.2891771855979,9.55,38,"Ringstad",149,274,6.57654777554459,4.96902185401604,1374.06464267148,1036.1897532059
"45","Mikkelsoya","Timepoint 1",4,7,9,69,2,"Ringstad",2022-07-03,2022-06-01,699,"Ringstad",10.7,7.97094518314645,12.2891771855979,10.7,20,"Ringstad",151,274,6.50001472678779,4.89248880525925,1358.56055129429,1020.68566182871
"510","Varholmen","Timepoint 1",6,25,22,22,74,"Ringstad",2022-07-03,2022-05-28,695,"Ringstad",8.27,7.53264869782717,12.2891771855979,8.27,53,"Ringstad",147,274,6.65148263811337,5.04395671658482,1389.12993534184,1051.25504587626
"265","Dragan Hammaran","Timepoint 2",14,14,11,17,7,"Ringstad",2022-07-03,2022-06-22,720,"Ringstad",9.91,10.1171417918079,12.2891771855979,9.91,39,"Ringstad",172,274,5.59461840881238,3.98709248728384,1170.11985202367,832.244962558088
"275","Finnoya","Timepoint 2",40,15,5,22,20,"Ringstad",2022-07-03,2022-06-26,724,"Ringstad",10.81,10.469525382618,12.2891771855979,10.81,60,"Ringstad",176,274,5.40078686895013,3.79326094742159,1129.2938177894,791.418928323821
"285","Hongvaeret","Timepoint 2",38,10,6,9,39,"Ringstad",2022-07-03,2022-06-30,728,"Ringstad",11.89,10.796278624882,12.2891771855979,11.89,54,"Ringstad",180,274,5.20039499005996,3.59286906853141,1087.08331789009,749.208428424515
"295","Mikkelsoya","Timepoint 2",25,20,9,17,5,"Ringstad",2022-07-03,2022-06-28,726,"Ringstad",13.14,10.6362727762346,12.2891771855979,13.14,54,"Ringstad",178,274,5.30139432577468,3.69386840424614,1108.35530152332,770.480412057743
"305","Varholmen","Timepoint 2",10,30,15,20,35,"Ringstad",2022-07-03,2022-06-19,717,"Ringstad",11.39,9.83774640772853,12.2891771855979,11.39,55,"Ringstad",169,274,5.73555792909469,4.12803200756614,1199.77382781557,861.898938349986
"515","Dragan Hammaran","Timepoint 3",31,1,0,28,1,"Ringstad",2022-07-03,2022-07-16,744,"Ringstad",13.41,11.8014576416332,12.2891771855979,13.41,32,"Ringstad",196,274,4.34059747719903,2.73307155567048,906.638369184888,568.76347971931
"525","Finnoya","Timepoint 3",76,2,0,19,3,"Ringstad",2022-07-03,2022-07-18,746,"Ringstad",13,11.8897080221868,12.2891771855979,13,78,"Ringstad",198,274,4.22762147488398,2.62009555335543,883.036176330911,545.161286865332
"535","Hongvaeret","Timepoint 3",58,1,1,18,0,"Ringstad",2022-07-03,2022-07-20,748,"Ringstad",13.71,11.9692020445982,12.2891771855979,13.71,60,"Ringstad",200,274,4.11368249290952,2.50615657138097,859.257490135791,521.382600670212
"545","Mikkelsoya","Timepoint 3",56,3,0,22,0,"Ringstad",2022-07-03,2022-07-19,747,"Ringstad",13.3,11.9305541323833,12.2891771855979,13.3,59,"Ringstad",199,274,4.17076689664001,2.56324097511147,871.167804058271,533.292914592692
"555","Varholmen","Timepoint 3",87,5,0,17,3,"Ringstad",2022-07-03,2022-07-17,745,"Ringstad",13.23,11.8466724181434,12.2891771855979,13.23,92,"Ringstad",197,274,4.28423525627169,2.67670933474314,894.860422485766,556.985533020187
