"","Year","Mo","Da","T0m","T2m","T4m","datetime","datemonth","Area","sl_av_7d"
"241","2005",8,29,16.87,16.87,16.87,2005-08-29,1900-08-29,"Kristineberg",NA
"242","2005",8,30,16.59,16.59,16.6,2005-08-30,1900-08-30,"Kristineberg",NA
"243","2005",8,31,16.46,16.47,16.48,2005-08-31,1900-08-31,"Kristineberg",NA
"244","2005",9,1,16.55,16.55,16.54,2005-09-01,1900-09-01,"Kristineberg",NA
"245","2005",9,2,16.7,16.71,16.71,2005-09-02,1900-09-02,"Kristineberg",NA
"246","2005",9,3,16.72,16.74,16.81,2005-09-03,1900-09-03,"Kristineberg",NA
"247","2005",9,4,16.79,16.79,16.8,2005-09-04,1900-09-04,"Kristineberg",NA
"248","2005",9,5,16.8,16.8,16.79,2005-09-05,1900-09-05,"Kristineberg",NA
"249","2005",9,6,17,17,16.99,2005-09-06,1900-09-06,"Kristineberg",NA
"250","2005",9,7,16.86,16.86,16.86,2005-09-07,1900-09-07,"Kristineberg",NA
"251","2005",9,8,16.68,16.68,16.68,2005-09-08,1900-09-08,"Kristineberg",NA
"252","2005",9,9,16.42,16.45,16.57,2005-09-09,1900-09-09,"Kristineberg",NA
"253","2005",9,10,16.3,16.36,16.58,2005-09-10,1900-09-10,"Kristineberg",NA
"254","2005",9,11,15.94,15.95,16.01,2005-09-11,1900-09-11,"Kristineberg",NA
"255","2005",9,12,16.39,16.44,16.6,2005-09-12,1900-09-12,"Kristineberg",NA
"256","2005",9,13,16.24,16.27,16.38,2005-09-13,1900-09-13,"Kristineberg",NA
"257","2005",9,14,16.31,16.31,16.32,2005-09-14,1900-09-14,"Kristineberg",NA
"258","2005",9,15,15.38,15.38,15.38,2005-09-15,1900-09-15,"Kristineberg",NA
"259","2005",9,16,14.81,14.87,15.15,2005-09-16,1900-09-16,"Kristineberg",NA
"260","2005",9,17,14.49,14.6,15.06,2005-09-17,1900-09-17,"Kristineberg",NA
"261","2005",9,18,14.98,14.98,14.98,2005-09-18,1900-09-18,"Kristineberg",NA
"262","2005",9,19,15.07,15.07,15.07,2005-09-19,1900-09-19,"Kristineberg",NA
"263","2005",9,20,15.05,15.05,15.06,2005-09-20,1900-09-20,"Kristineberg",NA
"264","2005",9,21,14.95,14.95,14.95,2005-09-21,1900-09-21,"Kristineberg",NA
"265","2005",9,22,14.8,14.82,14.91,2005-09-22,1900-09-22,"Kristineberg",NA
"266","2005",9,23,14.95,14.95,14.95,2005-09-23,1900-09-23,"Kristineberg",NA
"267","2005",9,24,14.94,14.95,14.95,2005-09-24,1900-09-24,"Kristineberg",NA
"268","2005",9,25,14.76,14.76,14.77,2005-09-25,1900-09-25,"Kristineberg",NA
"269","2005",9,26,14.83,14.83,14.83,2005-09-26,1900-09-26,"Kristineberg",NA
"270","2005",9,27,15,15,15,2005-09-27,1900-09-27,"Kristineberg",NA
"271","2005",9,28,14.82,14.82,14.82,2005-09-28,1900-09-28,"Kristineberg",NA
"272","2005",9,29,14.65,14.65,14.65,2005-09-29,1900-09-29,"Kristineberg",NA
"273","2005",9,30,14.47,14.47,14.47,2005-09-30,1900-09-30,"Kristineberg",NA
"274","2005",10,1,14.53,14.53,14.54,2005-10-01,1900-10-01,"Kristineberg",NA
"275","2005",10,2,14.42,14.42,14.41,2005-10-02,1900-10-02,"Kristineberg",NA
"276","2005",10,3,13.55,13.55,13.56,2005-10-03,1900-10-03,"Kristineberg",NA
"277","2005",10,4,13.5,13.56,13.79,2005-10-04,1900-10-04,"Kristineberg",NA
"278","2005",10,5,13.34,13.35,13.37,2005-10-05,1900-10-05,"Kristineberg",NA
"279","2005",10,6,14.03,14.03,14.02,2005-10-06,1900-10-06,"Kristineberg",NA
"280","2005",10,7,13.84,13.85,13.88,2005-10-07,1900-10-07,"Kristineberg",NA
"281","2005",10,8,13.79,13.8,13.82,2005-10-08,1900-10-08,"Kristineberg",NA
"282","2005",10,9,13.91,13.91,13.91,2005-10-09,1900-10-09,"Kristineberg",NA
"283","2005",10,10,13.7,13.7,13.7,2005-10-10,1900-10-10,"Kristineberg",NA
"284","2005",10,11,13.62,13.62,13.62,2005-10-11,1900-10-11,"Kristineberg",NA
"285","2005",10,12,13.6,13.6,13.6,2005-10-12,1900-10-12,"Kristineberg",NA
"286","2005",10,13,13.44,13.44,13.44,2005-10-13,1900-10-13,"Kristineberg",NA
"287","2005",10,14,13.23,13.24,13.27,2005-10-14,1900-10-14,"Kristineberg",NA
"288","2005",10,15,12.69,12.78,13.13,2005-10-15,1900-10-15,"Kristineberg",NA
"289","2005",10,16,12.2,12.3,12.66,2005-10-16,1900-10-16,"Kristineberg",NA
"290","2005",10,17,11.76,11.86,12.24,2005-10-17,1900-10-17,"Kristineberg",NA
"291","2005",10,18,12.79,12.88,13.24,2005-10-18,1900-10-18,"Kristineberg",NA
"292","2005",10,19,12.6,12.64,12.81,2005-10-19,1900-10-19,"Kristineberg",NA
"293","2005",10,20,12.36,12.36,12.36,2005-10-20,1900-10-20,"Kristineberg",NA
"294","2005",10,21,11.31,11.31,11.31,2005-10-21,1900-10-21,"Kristineberg",NA
"295","2005",10,22,12.18,12.18,12.2,2005-10-22,1900-10-22,"Kristineberg",NA
"296","2005",10,23,12.01,12.04,12.15,2005-10-23,1900-10-23,"Kristineberg",NA
